0.1,10.8,13.4
0.2,10.8,13.2
0.3,10.8,13.2
0.4,10.8,13.2
0.5,10.8,13.2
0.6,10.8,13
0.7,10.8,13
0.8,10.8,12.8
0.9,10.8,12.7
1,10.8,12.5
2,10.8,11.2
3,10.8,9.8
3.38,10.8,9.36
4,10.8,8.56
5,10.8,7.44
6,10.8,6.56
7,10.8,5.84
8,10.8,05.04
9,10.8,4.64
10,10.8,4.1
12,10.8,3.28
14,10.8,2.88
16,10.8,2.28
18,10.8,1.96
20,10.8,1.68
30,10.8,01.04
40,10.8,0.936
